player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,xgot,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,match_id
"{'name': 'Dudu', 'slug': 'dudu', 'shortName': 'Dudu', 'position': 'F', 'jerseyNumber': '92', 'userCount': 5173, 'gender': 'M', 'sofascoreId': '7_dudu', 'id': 147464, 'fieldTranslations': {'nameTranslation': {'ar': 'دودو'}, 'shortNameTranslation': {'ar': 'دودو'}}}",True,goal,assisted,"{'x': 9.8, 'y': 34, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.1, 'z': 1.9}",,0.11345634609461,0.28042149543762,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6314317,49,,2884,"{'start': {'x': 34, 'y': 9.8}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 98.1}}",42,2516,184,shot,regular,13472596
"{'name': 'Junior Alonso', 'slug': 'junior-alonso', 'shortName': 'J. Alonso', 'position': 'D', 'jerseyNumber': '6', 'userCount': 1792, 'gender': 'M', 'id': 333275, 'fieldTranslations': {'nameTranslation': {'ar': 'جونيور ألونسو', 'bn': 'জুনিয়র আলোনসো', 'hi': 'जूनियर अलोंसो'}, 'shortNameTranslation': {'ar': 'ج. ألونسو', 'bn': 'জে. অ্যালোনসো', 'hi': 'जे. अलोंसो'}}}",True,miss,corner,"{'x': 3.2, 'y': 61.5, 'z': 0}",head,high,"{'x': 0, 'y': 50.6, 'z': 68.1}",,0.036231875419617,0.0,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6314221,44,,2624,"{'start': {'x': 61.5, 'y': 3.2}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 31.9}}",2,76,2624,shot,,13472596
"{'name': 'Hulk', 'slug': 'hulk', 'shortName': 'Hulk', 'position': 'F', 'jerseyNumber': '7', 'userCount': 24430, 'gender': 'M', 'sofascoreId': 'Hulk', 'id': 34705, 'fieldTranslations': {'nameTranslation': {'ar': 'هولك'}, 'shortNameTranslation': {'ar': 'هولك'}}}",True,post,assisted,"{'x': 23.2, 'y': 61.7, 'z': 0}",left-foot,high,"{'x': 0, 'y': 54.2, 'z': 40.5}",,0.027756175026298,0.0,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6314191,43,,2548,"{'start': {'x': 61.7, 'y': 23.2}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 59.5}}",3,152,2548,shot,,13472596
"{'name': 'Hulk', 'slug': 'hulk', 'shortName': 'Hulk', 'position': 'F', 'jerseyNumber': '7', 'userCount': 24430, 'gender': 'M', 'sofascoreId': 'Hulk', 'id': 34705, 'fieldTranslations': {'nameTranslation': {'ar': 'هولك'}, 'shortNameTranslation': {'ar': 'هولك'}}}",True,goal,free-kick,"{'x': 30.4, 'y': 31.2, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.1, 'z': 13.9}",,0.02648588269949,0.072048135101795,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6314091,32,,1900,"{'start': {'x': 31.2, 'y': 30.4}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 86.1}}",14,800,1900,shot,regular,13472596
"{'name': 'Matheus França', 'firstName': 'Matheus França', 'slug': 'matheus-franca', 'shortName': 'Matheus França', 'position': 'F', 'jerseyNumber': '9', 'userCount': 3714, 'gender': 'M', 'id': 1116593, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيوس فرانكا', 'bn': 'ম্যাথিউস ফ্রাঙ্কা', 'hi': 'मैथियस फ्रांस'}, 'shortNameTranslation': {'ar': 'م. فرانكا', 'bn': 'ম্যাথিউস ফ্রাঙ্কা', 'hi': 'मैथियस फ्रांस'}}}",False,miss,assisted,"{'x': 30.8, 'y': 34.2, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 33.3, 'z': 63.9}",,0.016079094260931,0.0,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6314058,26,,1558,"{'start': {'x': 34.2, 'y': 30.8}, 'end': {'x': 66.7, 'y': 0}, 'goal': {'x': 66.7, 'y': 36.1}}",20,1142,1558,shot,,13472596
"{'name': 'Junior Alonso', 'slug': 'junior-alonso', 'shortName': 'J. Alonso', 'position': 'D', 'jerseyNumber': '6', 'userCount': 1792, 'gender': 'M', 'id': 333275, 'fieldTranslations': {'nameTranslation': {'ar': 'جونيور ألونسو', 'bn': 'জুনিয়র আলোনসো', 'hi': 'जूनियर अलोंसो'}, 'shortNameTranslation': {'ar': 'ج. ألونسو', 'bn': 'জে. অ্যালোনসো', 'hi': 'जे. अलोंसो'}}}",True,goal,corner,"{'x': 9.8, 'y': 47, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 3.8}",,0.071532115340233,0.19381900131702,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6314008,19,,1137,"{'start': {'x': 47, 'y': 9.8}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 96.2}}",27,1563,1137,shot,regular,13472596
"{'name': 'Rony', 'slug': 'rony', 'shortName': 'Rony', 'position': 'F', 'jerseyNumber': '11', 'userCount': 5649, 'gender': 'M', 'sofascoreId': 'Rony', 'id': 835260, 'fieldTranslations': {'nameTranslation': {'ar': 'روني', 'bn': 'রনি', 'hi': 'रोनी'}, 'shortNameTranslation': {'ar': 'روني', 'bn': 'রনি', 'hi': 'रोनी'}}}",True,save,corner,"{'x': 7.6, 'y': 44.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.6, 'z': 8.9}","{'x': 1.4, 'y': 50.2, 'z': 0}",0.36411848664284,0.21481515467167,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6314012,18,,1076,"{'start': {'x': 44.8, 'y': 7.6}, 'block': {'x': 50.2, 'y': 1.4}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 91.1}}",28,1624,1076,shot,,13472596
"{'name': 'Igor Gomes', 'slug': 'igor-gomes', 'shortName': 'I. Gomes', 'position': 'M', 'jerseyNumber': '17', 'userCount': 1156, 'gender': 'M', 'id': 913598, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور غوميز'}, 'shortNameTranslation': {'ar': 'إ. غوميز'}}}",True,miss,corner,"{'x': 20.7, 'y': 66.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 68.6, 'z': 18.1}","{'x': 7.6, 'y': 46, 'z': 0}",0.014119652099907,0.0,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6314002,18,,1075,"{'start': {'x': 66.6, 'y': 20.7}, 'block': {'x': 46, 'y': 7.6}, 'end': {'x': 31.4, 'y': 0}, 'goal': {'x': 31.4, 'y': 81.9}}",28,1625,1075,shot,,13472596
"{'name': 'Hulk', 'slug': 'hulk', 'shortName': 'Hulk', 'position': 'F', 'jerseyNumber': '7', 'userCount': 24430, 'gender': 'M', 'sofascoreId': 'Hulk', 'id': 34705, 'fieldTranslations': {'nameTranslation': {'ar': 'هولك'}, 'shortNameTranslation': {'ar': 'هولك'}}}",True,block,assisted,"{'x': 8.6, 'y': 31, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 19}","{'x': 7.5, 'y': 33.6, 'z': 0}",0.031171044334769,0.0,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6313999,18,,1033,"{'start': {'x': 31, 'y': 8.6}, 'block': {'x': 33.6, 'y': 7.5}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 81}}",28,1667,1033,shot,,13472596
"{'name': 'Dudu', 'slug': 'dudu', 'shortName': 'Dudu', 'position': 'F', 'jerseyNumber': '92', 'userCount': 5173, 'gender': 'M', 'sofascoreId': '7_dudu', 'id': 147464, 'fieldTranslations': {'nameTranslation': {'ar': 'دودو'}, 'shortNameTranslation': {'ar': 'دودو'}}}",True,block,fast-break,"{'x': 26.9, 'y': 47.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 19}","{'x': 18, 'y': 48.2, 'z': 0}",0.055532582104206,0.0,"{'name': 'Daniel Fuzato', 'slug': 'daniel-fuzato', 'shortName': 'D. Fuzato', 'position': 'G', 'jerseyNumber': '13', 'userCount': 953, 'gender': 'M', 'id': 863276, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيال فوزاتو', 'bn': 'ড্যানিয়েল ফুজাতো', 'hi': 'डैनियल फ़ुज़ातो'}, 'shortNameTranslation': {'ar': 'د. فوزاتو', 'bn': 'ডি. ফুজাতো', 'hi': 'डी. फ़ुज़ातो'}}}",6313944,11,,634,"{'start': {'x': 47.9, 'y': 26.9}, 'block': {'x': 48.2, 'y': 18}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 81}}",35,2066,634,shot,,13472596
